"Module","Protein_Count","Target_Count","Proportion","TFCs_mean"
"1",11,7,0.636363636363636,29.0021419066791
"2",93,49,0.526881720430108,28.0489537657117
"3",9,2,0.222222222222222,32.7123209024628
"4",7,5,0.714285714285714,16.3303152896323
"5",45,31,0.688888888888889,26.5722177860999
"6",79,38,0.481012658227848,29.4692993675473
"7",52,11,0.211538461538462,36.5791380966094
"8",39,30,0.769230769230769,38.3510567811938
"9",64,3,0.046875,29.2548706050432
"10",17,2,0.117647058823529,32.4171437625864
"11",27,17,0.62962962962963,33.1604670766291
"12",26,10,0.384615384615385,19.9508378761243
"13",14,2,0.142857142857143,29.8847552102721
"14",20,5,0.25,29.7557250883076
"15",5,2,0.4,90.3612812785471
"16",12,9,0.75,25.692459966557
"17",23,14,0.608695652173913,31.3310855564718
"18",14,6,0.428571428571429,0.208723499934803
"19",15,3,0.2,33.0656323277234
"20",65,14,0.215384615384615,22.5833872528329
"21",4,0,0,15.8101293710508
"22",22,5,0.227272727272727,25.9083280884075
